유저, 챗봇
"괜찮다!!ㅋㅋㅋㅋ어제기억나?","아니아니 기억부분부분난다 ㅋㅋㅋ"
"ㅋㅋㅋㅋ오늘은 정신꽉잡고있어리 ! 진짜데리러갈게","알았다ㅎ 언제오게 내집갈때오게?"
"응ㅎㅎ아빠차 훔쳐서갈게ㅋㅋㅋㅋ","모르겠어!ㅋㅋㅋㅋ 낮은확률로 못갈수도있지.ㅎ....언제먹어???"
"ㅋㅋㅋㅋ그래그래당연하지! 나도내일잘하면 어방에서먹을수도있지!","오!? 진짜???"
"응응ㅋㅋㅋㅋ저번부터 인재대다니는친구가 술집좋은곳많다면서막 자꾸가자고했거든","오~그렇군 어방에서 먹었우면 좋겠네"
"ㅎㅎㅎ그러게ㅎㅎ어방가자고 계속해야겠다 나이제 치킨집들어왔어~~","오호 잼께 놀아~~~"
"니랑놀고싶은데~~ 뭐하고있어","나 응답하라 보는중~~~"
"아진짜???이제 <NUM> 화인가 재밌어????","나지금 <NUM> 화보는중 잼땅"
"아하ㅎㅎㅎ나도봐야지~~ 너는예뻣다는 다봤어??","응응 좋게끝나도만!!"
"오늘 집에 왜케늦게와~??","나 학원~~실습하런 간단 ㅠㅠ"
"아하...지내동에서기달리고있을게ㅎㅎㅎ","뭐하면서 기다리게!"
"친구랑 피시하면서~~짜장면도먹고~~기다릴게ㅎㅎㅎ","구랴규랴 난이제 냉정우로 ㅠㅠ"
"ㅎㅎㅎ빨리보고싶어~경전철막차타고오는거야???","아니아니~ 아홉시 반에 마칠껑??"
"오~~좋다좋다ㅎㅎ최대한빨리와ㅎㅎㅎ","알았졍~~ 피씨방에 있어리"
"그래그래ㅎㅎㅎ나이제허리도 완전괜찮아짐!ㅎㅎㅎ ","ㅋㅋㅋㅋ진짜궁금해 콩깍지를준비할게요"
"아..콩깍지안벗겨지게 접착제 가져갈게^^♥","ㅋㅋㅋㅋ필수야 빨리와요"
"ㅋㅋ넵 나학교왔어 근데 교수없이 우리끼리 자발적인모임이라 수다떨기바쁨ㅋㅋ","ㅋㅋㅋ오빠수다왕이잖아 신났겠네!!"
"ㅋㅋ웅 근데지금 졸작얘기라서 입다물고있음..","즘깨어주세요"
"몇시에?","일어나세요옴"
"한시간동안샤워하고싶다..","씻고왔어?"
"네 학교가기싫다 ㅠㅠ","이번주만참자 ㅋㅋ오늘날씨진짜좋아"
"넵 몇시에들어갈거예요?","네시쯤 ?!"
"프로필사진머냐 설마지금 만든거야?","왜요이사람아"
"지금만든거야?","아니요!! 저거그냥사진인에요"
"씻었어","오늘학교늦게가요???"
"아니..어제술좀많이먹어서 못일어났어","아..그렇게많이먹었어요? 어떡해요학교도못가고"
"괜찮아 지금부터잘하면대","응 화이팅 오늘은그럼 집에서쉬게요??"
"학교갔다가 집에와야지","아나학교아예안가는줄알았어 알았어요 지금가??"
"응 옷입고있어요","잘하고있어요 진짜좋다ㅎㅎ"
"나왔어요 춥다오늘 옷따뜻하게입어","네 오늘여기날씨진짜좋은데 오늘봄처녀야ㅋㅋ"
"여기는 가을입니다 추운게싫다..","에이씨 ㅠㅠ"
"머 왜 방해안할테니 어서가서 노세요","어제 내가 연락하기로 해놓고 못해서 미안해 <NAME> 씨 ㅠㅠ"
"그래 놀러갔는데 어떡해ㅋㅋ 일박이일이야 이박삼일이야? ?","하루야 아침에 집와서 충전하고 연락한거야!"
"그랬구나ㄱㄱㄱㄱ술많이마셨어? 속은괜찮인? 괜찮아?","얼마안마셨어 괜찮아 근데 얼굴이 손보다 작네"
"아냐ㅋㅋㅋ안그래","왜이렇게얼굴작은거야? 점심먹었어???"
"아니라고ㅋㅋㅋㅋ 아니아직ㅠㅠ"
"왜아직도안먹었어! 거기서밥먹을시간도안줘?","주는데늦어ㅠㅠ사과 <NUM> 조각먹었다ㅋㅋ 밥먹었어? ?"
"엄청배고프겠다그럼언제먹어? 나는먹었지!","시끄러워 운동해"
"에잉~~~~ ","운동하고오세요^^"
"운동끝~~~~","수고했어~~~"
"집도착!!완전빨리왔지?","응 잘했네ㅋㅋ얼른씻어"
"씻고오겠삼!","응응"
"나손톱자르려고 난소중하니까^^","길었구나ㅋㅋ난 손톱긴거 싫어해서 항상 잘라ㅋㅋ"
"나도싫어해! 요새신경을안썼더니 조금자랐는데 내일 너만나니까 정리좀했지","굿굿 오늘도 늦게 자려고? ?"
"이건오빠얘기가 아닌데..","나맞아"
"내가 전부야 나가죽을까 생각안했잖아","그랬거든?"
"아라써 믿을게","근데울음은뭐냐"
"속상해서ㅎㅎㅎ","왜속상해?"
"그냥 좋아서 ","ㅋㅋ바보"
"뭐야 부끄럽게 ㅋㅋㅋㅋ","부끄럼안타자나ㅋ"
"ㅋㅋㅋ그건차츰 확인해보면되고..","ㅋㅋㅋㅋ 그래요..."
"오빠 나지금고속터미널왔어 바뿡가봉가? 나아홉시반차탔어~ 열시반도착예정ㅎㅎ","일찍오내!! 나열한시이십분쯤?끝나 오고있겠네 ㅎㅎ"
"어디쯤야","몰라나도..집가서잘래"
"ㅠㅠ 끝나늗데로전화할게애기","킁.. 도착했더"
"애기집으로갈게","옹야"
"애기배고파?","아니!오빠배고파아~?"
"ㅋㅋㅋㅋ물장구 인천 놀러가야겠네","물장구 치러 놀러온다는거예요? ㅋㅋ"
"그럼 진짜 물장구치러 가야겠다","어디서 또 홀딱 벗고 물장구 치려고요"
"ㅋㅋㅋ구월동 할리스커피에서","어머 구경가야겠다 "
"ㅋㅋㅋ너도 와 같이할래?","넵ㅋㅋ어푸어푸 파닥거려야겠다 ㅋㅋ 퐁당퐁당"
"ㅋㅋㅋ 바보야?"," 바보라니.."
"ㅎㅎ뭐해 지금은","그냥 집에 있어요ㅋㅋ 뭐해요?"
"ㅎㅎ나도 잉여짓하고있어","밖에 비와서 안나갔어요? 비와서 시원해요"
"ㅎㅎ웅 완전 시원해 밖이야 나 너도 밖이야?","아뇨 나는 집이에요ㅋㅋㅋㅋ 언제 나갔대요"
"아까 나왔지 ㅎㅎ 잉여야 ?","난 항상 잉여에요ㅋㅋㅋ 끄윽"
"ㅋㅋㅋ놀아줘야겠네","말로만? ㅋㅋㅋㅋ"
"ㅋㅋ진짜로","진짜로? ㅋㅋㅋ"
"ㅋㅋㅋㅋ 야구는 이겼어??","어 이겼는데 출전은안했지 옷을안가지고가서"
"근데 ㅋㅋㅋ야구 어디팬이야?","나는삼성이지. 걱정안해도잘해 곧너도듣겠구나."
"나 이제일어났어ㅎㅎㅎㅎ 훨 괜찮아졌어!^^","ㅠㅠ....아프면쉬어도돼..ㅠㅠ"
" 괜차낭ㅋㅋㅋㅋ나 이미 준비중이야 어제 바로 잤어??","응 ㅠㅠ.. ㅠㅠ..어디쯤이야?"
" 방금출발했어ㅋㅋㅋㅋ얼른갈게 ","천천히와! ㅠㅠ 언제쯤도착할것같아?? 맞춰나갈게ㅠㅠ"
"오늘 날씨 대박이야 ㅠㅠ더워ㅋㅋㅋㅋ","ㅠㅠ그치;;비도안올것같아;;"
" 안아줘 배도 쓰담쓰담","ㅋㅋㅋ웅♥♥ㅠㅠ 나오늘고딩이네;;"
"좀따출발하시겠다","응이제슬슬나가야지 목도리할까..말까.."
"안하면내가해주고 하면하는거고똑같아~ ㅋㅋㅋㅋ","ㅋㅋㅋㅋ 하고간다"
"옙ㅋㅋㅋㅋ 어디쯤이신지","잤어ㅋㅋㅋㅋ 지금아직일산"
"나이제출발해","옹ㅋㅋ"
"어디쯤이야??","거의다와간다 어디야"
"쨌다 ㅋㅋㅋㅋ","쨋어?ㅋㅋㅋㅋ 어딘데ㅋㅋㅋㅋ뭐하게"
"동방","뭐하게ㅋㅋㅋㅋ"
"수업들어갔어?","아니안가게ㅋㅋㅋㅋ근데그러고누워있으니까또괜찮은것같네"
"그래 푹쉬어라","누워있으니까 낫는다ㅋㅋㅋㅋ어제친해진편입생친구랑 밥먹으러나갈까 고민중이야"
"ㅋㅋㅋㅋ 밖은추워","그니깐 ㅋㅋㅠㅠ.. 갑자기 완죤 추워짐!!"
"더궁금하다ㅋㅋㅋ 맛있는거 먹었어??","넹 엄마가 친구들까지 소갈비 사줬어여ㅋㅋㅋㅋ"
"소갈비ㄷㄷㅋㅋㅋㅋ맛있겄다...ㅠㅠ","ㅋㅋㅋㅋ엄~~청 맛있었어요 배터질것같다.."
"나도 저녁에 맛난거 먹어야지~ㅋㅋㅋㅋ","맛난거 어떤거요?ㅋㅋㅋㅋ"
"전집 가려고...ㅋㅋ소갈비한테 쨉도안된다ㅋㅋㅋㅋ","ㅋㅋㅋㅋ전에 막걸리한잔 하실려고요?"
"많이 아쉬워 보인다ㅋㅋㅋ 난 머리 자르러 왔다ㅎ","ㅋㅋㅋㅋ오빠 서점 간다고 그러지 않았어요....?!"
"그냥 일러스트 책 몇개 보고옴ㅋㅋ너무비싸...","ㅋㅋㅋㅋ그렇구나.... 막걸리는 어디서 드세요??"
"나 동네에서 먹게ㅋㅋㅋㅋ 넌 놀아?","네 그럴것같아요!"
"잼께 놀아~~ㅎㅎ","네 오빠는 과음하지마세요ㅋㅋㅋㅋ 하실듯하지만.."
"ㅋㅋㅋㅋ그때 걔네들처럼 놀고 있겠구만ㅋㅋ","아니에요ㅋㅋㅋㅋ소소하게 여자애들끼리 있어요"
"ㅋㅋㅋㅋ소소하대 으 막걸리 배부르다ㅋㅋ","ㅋㅋㅋㅋ동네에 막걸리집 어디요? 괜찮아요?"
"사거리쪽에 전집갔어ㅋㅋㅋ지금은 맥주마시는중ㅎ","혹시 아 옛날이여..? 는 아니죠?.."
"거긴 약간 나이있으신분들 많이오는데ㅋㅋㅋㅋ 너 담주 쉬는날 언제야??","저 금요일이요..ㅎ.ㅎ.."
"금요일날 시간 괜찮아?","네~~~"
"그래?ㅋㅋㅋ그때 보자~ ","넹~~ 영화볼거예요..?"
"보고싶은거있어??","음음 지금 하는 것중엔 모르겠어요ㅠㅠ 없는것같아요"
"나도 하고싶다 그알바ㅋㅋㅋㅋ평소엔 돌아가면서 하는거야??","아니요 평소엔 직원 들어가는데 오늘 걔가 쉬어서요! ㅎㅎㅎㅎ운이 좋았어요"
"난 배고파서 죽을것같아","식사시간 언젠데용??"
"그럼 밥은 언제 먹나요.?","수업끝나고 집에가서ㅋㅋㅋ"
"오늘 아침 못 먹었어 ㅠㅠ","헐. 오빠 진짜 배고프시겠어요ㅋㅋㅋㅋ 저도 배고픈데ㅠㅠ"
"뱃속에서 밥달라고 꼬르륵꼬르륵....ㅋ 너는 곧 점심 먹겠네~ㅋㅋ","네...ㅋㅋㅋㅋ솔직히 너무 놀다 밥먹으러 가서 완전 죄송해요.."
"하룬데 뭘ㅋㅋㅋㅋ 난너무 배고파서 길거리 오뎅사먹었다ㅋㄱㄱㅋ ㅋ","ㅋㅋㅋㅋ쉬는시간에요???"
"아 지금 일하고있야?","웅"
"ㅋㅋㅋㅋ뜨아 나는 누워있어"
"우와아아 허리야~~","나도허리아파"
"쉬어가면서 해 ㅋㅋㅋㅋ","ㅠㅠ 뭐하니"
"아냐아냐 밥 먹고 와","응.. 밥먹고 올게 다먹었어!!"
"나도 먹고 왔어 ","난 이제 공부해야지 배부르다.."
"ㅋㅋㅋㅋ뭐먹었어??","매콤 등갈비 밥"
"저번에 먹었던거네","결국엔 맨날 같은걸 먹기 마련이지 ㅋㅋㅋㅋ"
"공부하고있어?","아니요... "
"알아서 잘하겠지...","공부하기 싫다.."
"배고프다","ㅋㅋ 나는 스테이크 먹었지용 ㅋㅋㅋ"
"아직 안 나왔어?","이제 도착했어"
"뭐 먹으러 갔졍","스테이크~"
"왜이렇게 늦게나오 지","헐 아직도???"
"저녁 드삼!","응 이제 무야지"
"맛있게 먹어!","이제무따 야구본다"
"이기고 있어?","응ㅋㅋ 이기네"
"오 멋지네ㅋㅋ","응 오늘은 이길건갑다ㅋㅋ"
"올~ 배고프다","뭐좀먹어~"
"울산에 삼산동이 있어?","응 있지"
"오 나도 지금 저녁 먹어","난집가서 간식무야지"
"나도 간식 줘","ㅋㅋ알았어"
"씻고왔다ㅋㅋ","뽀송뽀송"
"ㅋㅋ응 잠온다","잘자 영감!"
"아저씨 점심은 드셨나요","넹ㅋㅋ더워죽겠심더"
"에어컨 빵빵하게 틀어ㅠㅠ","그래도해가뜨거서..헉"
"잘했어.. 나도 내 돈 펑펑 써보고 싶다..","ㅋㅋ나도펑펑 못쓴다"
"ㅋㅋㅋ아 기운이 없다","힘을 내시오 밥먹고 힘내야지"
"으앙 밥 생각도 없다 이러다가 영영 취업 못하면 어쩌지","된다ㅋㅋ실습다해놓고 나이도 어린게 ㅋㅋ"
"헝 우울하다 ㅠㅠㅠㅠㅠㅠㅠ","우울해하지마"
"알았어 고마워","ㅋㅋ밥먹어라^^"
"나가서 산책할거다!","올 운동좋아"
"영감네는 저녁 언제 먹어?","나우 밥챙기무~!!"
"응 맛있게 먹어~","밥먹고 맥주한잔ㅋㅋㅋ"
"나는 딸기우유~.~","ㅋㅋㅋ 우유 좋네 애기다 애기"
"배부르니까 아무것도 안하고 싶다","난 이제 씻는다~_"
"이제 누움 오늘 일찍 자네.. 열시도안됐다","피곤해?"
"밥은 먹었나","낮에 먹은 고기가 아직 배에 있다~ㄷㄷㄷ"
"돼지","히히히"
"메롱","아ㅋㅋ 킹받네ㅔ.. 메롱!!!"
"응 아니야","응 아니야 반박시 내말만 맞음!!"
"언제 자나","열시?ㅋㅋㅋ"
"곧 자네","양치하고자야지 결국 저녁은패스ㅋㅋ"
"ㅋㅋㅋ잘했어","앙 기모띠~~"
"모닝~","안녕~"
"옹ㅋㅋ출근준비잘하고!!","오늘도 뽜이팅!"
"영감은 안 젊어","히히"
"ㅋㅋㅋㅋ 헝 나 못생겨써ㅠㅠ","왜그랭ㅠ,,"
"맞네 으아 오늘만 일하면 된다","힘내서 수고하시고!!"
"아 진짜?","응 진짜"
"짜장면 먹고싶다","헐 나 저녁 그거물거임"
"마무리중^^ 하루가길다","수고해쳐요"
"옹ㅋㅋ집가야지","추워 얼른 가"
"아 힘들당..","가서 씻고 푹 자"
"라면먹을거야 밥못뭄..","밥 없어? 왜 라면을 먹어"
"씻었다","밥은?"
"이제 뭇다ㅋㅋㅋ 좀더 놀다 자야겠어","잘자!"
"뿅","설사는 안해?"
"아까 과자 조금 먹었는데 하드라 ㅋㅋ 안무야지","과자 나 줘"
"천천히 머거","응 먹는다"
"나도 먹었다","나도 배불러"
"뭐먹었어","밥뭇지 미역국하고 ㅋㅋ"
"내일출근하네","웅 종근..ㅠㅠ돈 많이 벌어와"
